Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Rishon LeZiyyon,17.9,"13,616",524,8300,
Rishon LeZiyyon,21.7,"14,957",531,8300,
Rishon LeZiyyon,21.2,"14,476",532,8300,
Rishon LeZiyyon,21.3,"16,106",533,8300,
Rishon LeZiyyon,20.5,"16,707",534,8300,
Rishon LeZiyyon,27.1,"18,189",611,8300,
Rishon LeZiyyon,26.6,"17,621",612,8300,
Rishon LeZiyyon,22.8,"14,314",614,8300,
Rishon LeZiyyon,19.6,"16,377",615,8300,
Rishon LeZiyyon,20.2,"16,183",616,8300,
Rishon LeZiyyon,20.6,"15,567",617,8300,
Rishon LeZiyyon,17.9,"13,725",623,8300,
Rishon LeZiyyon,13.2,"13,105",624,8300,
Rishon LeZiyyon,18.2,"16,755",625,8300,
Ashdod,9.5,"11,812",122,70,
Ashdod,7.7,"10,995",123,70,
Ashdod,4.7,"10,289",125,70,
Ashdod,6.5,"11,296",126,70,
Ashdod,6.6,"9,999",131,70,
Ashdod,4.2,"11,105",132,70,
Ashdod,4.6,"9,819",133,70,
Ashdod,1.7,"10,379",141,70,
Ashdod,2.5,"10,175",142,70,
Ashdod,3.9,"9,611",143,70,
Ashdod,4.4,"10,850",144,70,
Ashdod,1.5,"10,434",211,70,
Ashdod,1.0,"10,480",212,70,
Ashdod,3.8,"11,440",221,70,
Ashdod,4.5,"9,679",222,70,
Ashdod,5.4,"10,092",223,70,
Ashdod,10.0,"9,456",231,70,
Ashdod,11.3,"10,905",232,70,
Ashdod,12.1,"10,652",233,70,
Ashdod,8.5,"9,086",234,70,
Ashdod,10.6,"9,270",241,70,
Ashdod,7.3,"10,307",242,70,
Ashdod,14.1,"9,922",243,70,
Ashdod,17.1,"10,495",244,70,
Ashdod,14.4,"14,098",311,70,
Ashdod,19.9,"10,403",312,70,
Ashdod,16.8,"10,331",314,70,
Ashdod,15.1,"10,290",315,70,
Ashdod,16.0,"10,654",316,70,
Ashdod,13.6,"11,095",317,70,
Ashdod,10.4,"10,289",321,70,
Ashdod,2.0,"9,703",322,70,
Ashdod,7.7,"10,294",323,70,
Ashdod,12.6,"9,650",331,70,
Ashdod,15.1,"8,961",332,70,
Ashdod,14.7,"10,059",333,70,
Ashdod,13.3,"11,668",342,70,
Ashdod,13.5,"11,437",343,70,
Ashdod,14.5,"11,849",411,70,
Ashdod,14.0,"10,620",412,70,
Ashdod,14.7,"13,146",413,70,
Ashdod,24.8,"10,076",415,70,
Ashdod,15.6,"11,574",421,70,
Ashdod,17.8,"11,268",422,70,
Ashdod,15.5,"11,271",423,70,
Ashdod,13.2,"11,271",424,70,
Ashdod,14.4,"11,482",425,70,
Ashdod,18.1,"11,899",426,70,
Ashdod,22.5,"11,534",432,70,
Ashdod,20.3,"12,211",433,70,
Ashdod,23.5,"11,399",434,70,
Petah Tiqwa,14.1,"13,650",112,7900,
Petah Tiqwa,23.7,"14,414",113,7900,
Petah Tiqwa,12.8,"13,371",114,7900,
Petah Tiqwa,30.6,"14,185",115,7900,
Petah Tiqwa,45.2,"14,340",121,7900,
Petah Tiqwa,38.2,"14,565",122,7900,
Petah Tiqwa,37.6,"15,022",123,7900,
Petah Tiqwa,15.9,"13,837",127,7900,
Petah Tiqwa,32.9,"14,186",131,7900,
Petah Tiqwa,12.2,"15,600",132,7900,
Petah Tiqwa,21.3,"13,649",133,7900,
Petah Tiqwa,16.9,"15,391",134,7900,
Petah Tiqwa,21.3,"12,333",141,7900,
Petah Tiqwa,14.9,"13,096",142,7900,
Petah Tiqwa,17.8,"14,361",143,7900,
Petah Tiqwa,13.2,"14,868",144,7900,
Petah Tiqwa,14.2,"12,471",145,7900,
Petah Tiqwa,10.9,"12,723",146,7900,
Petah Tiqwa,42.0,"17,132",211,7900,
Petah Tiqwa,45.1,"16,813",212,7900,
Petah Tiqwa,34.6,"13,167",213,7900,
Petah Tiqwa,35.2,"13,790",221,7900,
Petah Tiqwa,22.9,"13,337",222,7900,
Petah Tiqwa,33.7,"13,965",223,7900,
Petah Tiqwa,27.9,"13,561",224,7900,
Petah Tiqwa,26.4,"13,966",231,7900,
Petah Tiqwa,20.4,"14,468",232,7900,
Petah Tiqwa,22.4,"13,313",233,7900,
Petah Tiqwa,16.3,"13,331",234,7900,
Petah Tiqwa,20.0,"12,982",235,7900,
Petah Tiqwa,19.6,"12,388",236,7900,
Petah Tiqwa,10.2,"13,082",311,7900,
Petah Tiqwa,9.5,"12,979",312,7900,
Petah Tiqwa,11.1,"13,027",313,7900,
Petah Tiqwa,14.8,"13,740",321,7900,
Petah Tiqwa,13.5,"12,802",322,7900,
Petah Tiqwa,16.9,"12,939",323,7900,
Petah Tiqwa,21.7,"13,718",324,7900,
Petah Tiqwa,24.3,"12,249",411,7900,
Petah Tiqwa,10.9,"12,705",412,7900,
Petah Tiqwa,11.9,"14,021",413,7900,
Petah Tiqwa,9.7,"13,041",414,7900,
Petah Tiqwa,9.9,"11,723",415,7900,
Petah Tiqwa,9.9,"15,273",421,7900,
Petah Tiqwa,20.9,"13,477",422,7900,
Petah Tiqwa,14.3,"12,730",423,7900,
Petah Tiqwa,18.8,"13,772",424,7900,
Petah Tiqwa,14.1,"16,424",431,7900,
Petah Tiqwa,14.9,"13,082",432,7900,
Petah Tiqwa,15.3,"12,745",433,7900,
Petah Tiqwa,25.5,"12,692",434,7900,
Petah Tiqwa,30.4,"12,403",511,7900,
Petah Tiqwa,18.6,"13,363",512,7900,
Petah Tiqwa,5.7,"10,373",513,7900,
Petah Tiqwa,17.9,"12,767",514,7900,
Petah Tiqwa,7.6,"13,761",515,7900,
Petah Tiqwa,22.6,"12,206",516,7900,
Petah Tiqwa,32.2,"13,032",521,7900,
Petah Tiqwa,32.5,"12,823",522,7900,
Petah Tiqwa,11.3,"12,452",523,7900,
Petah Tiqwa,9.5,"12,433",524,7900,
Be'er Sheva,7.0,"6,476",111,9000,
Be'er Sheva,3.9,"4,519",112,9000,
Be'er Sheva,4.0,"5,212",113,9000,
Be'er Sheva,7.1,"7,397",121,9000,
Be'er Sheva,10.6,"7,914",122,9000,
Be'er Sheva,10.9,"8,559",123,9000,
Be'er Sheva,14.5,"7,348",131,9000,
Be'er Sheva,5.4,"7,664",132,9000,
Be'er Sheva,10.8,"7,931",133,9000,
Be'er Sheva,15.6,"5,898",211,9000,
Be'er Sheva,9.9,"5,670",212,9000,
Be'er Sheva,11.2,"7,278",213,9000,
Be'er Sheva,11.6,"7,691",214,9000,
Be'er Sheva,10.7,"5,434",215,9000,
Be'er Sheva,6.0,"5,753",216,9000,
Be'er Sheva,7.2,"5,781",221,9000,
Be'er Sheva,7.8,"5,468",222,9000,
Be'er Sheva,11.4,"6,094",223,9000,
Be'er Sheva,11.8,"6,039",224,9000,
Be'er Sheva,10.1,"6,855",225,9000,
Be'er Sheva,12.4,"5,681",226,9000,
Be'er Sheva,17.1,"7,249",234,9000,
Be'er Sheva,13.6,"7,528",311,9000,
Be'er Sheva,13.5,"7,305",312,9000,
Be'er Sheva,14.0,"7,381",313,9000,
Be'er Sheva,21.1,"8,752",411,9000,
Be'er Sheva,14.7,"7,456",412,9000,
Be'er Sheva,14.8,"7,746",413,9000,
Be'er Sheva,18.4,"8,232",414,9000,
Be'er Sheva,21.6,"7,757",415,9000,
Be'er Sheva,23.7,"8,186",421,9000,
Be'er Sheva,19.4,"7,026",422,9000,
Be'er Sheva,15.4,"6,530",423,9000,
Be'er Sheva,17.6,"6,026",431,9000,
Be'er Sheva,13.6,"5,976",432,9000,
Be'er Sheva,7.4,"5,578",433,9000,
Be'er Sheva,9.8,"6,765",434,9000,
Be'er Sheva,8.3,"5,346",511,9000,
Be'er Sheva,11.3,"7,830",512,9000,
Be'er Sheva,24.7,"8,472",513,9000,
Be'er Sheva,10.7,"7,695",521,9000,
Be'er Sheva,9.2,"6,696",522,9000,
Be'er Sheva,8.6,"6,710",523,9000,
Be'er Sheva,19.1,"6,969",611,9000,
Be'er Sheva,11.4,"8,349",612,9000,
Be'er Sheva,21.6,"7,731",613,9000,
Be'er Sheva,8.5,"8,836",614,9000,
Be'er Sheva,9.7,"7,162",631,9000,
Be'er Sheva,8.2,"6,759",632,9000,
Be'er Sheva,7.3,"7,161",633,9000,
Be'er Sheva,17.1,"7,305",641,9000,
Be'er Sheva,23.4,"8,482",642,9000,
Be'er Sheva,30.6,"8,356",643,9000,
Be'er Sheva,29.0,"6,447",644,9000,
Be'er Sheva,28.3,"8,322",645,9000,
Netanya,20.2,"11,704",111,7400,
Netanya,13.2,"11,257",112,7400,
Netanya,8.0,"8,983",113,7400,
Netanya,25.3,"12,215",114,7400,
Netanya,37.5,"12,347",115,7400,
Netanya,6.7,"10,477",211,7400,
Netanya,6.9,"9,808",212,7400,
Netanya,16.1,"11,597",213,7400,
Netanya,13.4,"12,301",221,7400,
Netanya,13.7,"11,540",222,7400,
Netanya,4.5,"10,109",223,7400,
Netanya,11.6,"12,459",231,7400,
Netanya,12.3,"12,086",232,7400,
Netanya,12.8,"12,212",233,7400,
Netanya,13.1,"11,203",241,7400,
Netanya,16.3,"10,940",242,7400,
Netanya,14.2,"12,057",243,7400,
Netanya,7.0,"9,832",311,7400,
Netanya,7.7,"11,251",312,7400,
Netanya,9.6,"11,530",313,7400,
Netanya,14.9,"13,142",321,7400,
Netanya,9.6,"14,426",322,7400,
Netanya,13.4,"12,648",323,7400,
Netanya,10.1,"11,676",324,7400,
Netanya,14.3,"12,423",331,7400,
Netanya,15.5,"11,611",332,7400,
Netanya,15.5,"11,977",333,7400,
Netanya,14.0,"13,270",334,7400,
Netanya,16.5,"12,858",341,7400,
Netanya,17.8,"11,966",342,7400,
Netanya,14.0,"11,406",343,7400,
Netanya,14.6,"11,591",351,7400,
Netanya,10.0,"11,251",352,7400,
Netanya,15.5,"11,675",353,7400,
Netanya,17.9,"12,661",354,7400,
Netanya,14.9,"11,643",355,7400,
Netanya,20.9,"10,588",411,7400,
Netanya,22.4,"15,607",412,7400,
Netanya,19.2,"13,125",413,7400,
Netanya,8.4,"10,169",421,7400,
Netanya,5.8,"9,738",422,7400,
Netanya,3.8,"9,863",431,7400,
Netanya,6.6,"10,659",432,7400,
Netanya,9.4,"10,788",511,7400,
Netanya,5.0,"10,860",512,7400,
Netanya,12.3,"10,087",513,7400,
Netanya,7.7,"9,821",521,7400,
Netanya,6.2,"9,816",522,7400,
Netanya,15.8,"11,880",523,7400,
Netanya,34.8,"16,622",531,7400,
Netanya,27.2,"11,583",532,7400,
Netanya,33.2,"14,613",533,7400,
Netanya,27.1,"11,216",534,7400,
Holon,0.0,"10,609",114,6600,
Holon,14.0,"13,795",211,6600,
Holon,11.7,"13,333",212,6600,
Holon,15.3,"13,640",213,6600,
Holon,19.5,"13,648",214,6600,
Holon,12.7,"12,601",215,6600,
Holon,15.3,"13,994",216,6600,
Holon,19.9,"13,114",221,6600,
Holon,18.9,"13,036",222,6600,
Holon,13.8,"13,572",223,6600,
Holon,17.2,"13,567",224,6600,
Holon,14.2,"12,872",225,6600,
Holon,18.7,"14,127",311,6600,
Holon,24.7,"14,725",312,6600,
Holon,17.8,"15,102",313,6600,
Holon,16.8,"15,081",314,6600,
Holon,18.3,"15,239",321,6600,
Holon,24.0,"14,929",322,6600,
Holon,20.5,"15,244",323,6600,
Holon,16.4,"15,112",324,6600,
Holon,12.9,"14,474",331,6600,
Holon,14.7,"14,887",332,6600,
Holon,17.6,"15,824",333,6600,
Holon,20.1,"14,692",334,6600,
Holon,17.2,"15,673",335,6600,
Holon,12.4,"15,878",411,6600,
Holon,18.7,"16,424",412,6600,
Holon,21.7,"15,299",413,6600,
Holon,24.9,"17,975",414,6600,
Holon,24.6,"15,116",415,6600,
Holon,24.4,"16,750",416,6600,
Holon,20.6,"15,600",422,6600,
Holon,17.0,"15,190",423,6600,
Holon,15.9,"12,968",424,6600,
Holon,17.5,"15,264",425,6600,
Holon,18.2,"15,550",426,6600,
Holon,15.3,"15,698",427,6600,
Holon,5.2,"14,704",512,6600,
Holon,11.0,"14,835",513,6600,
Holon,8.2,"16,589",514,6600,
Holon,12.7,"13,518",521,6600,
Holon,18.4,"14,061",522,6600,
Holon,13.4,"14,407",523,6600,
Holon,14.8,"14,865",611,6600,
Holon,13.6,"13,993",612,6600,
Holon,11.7,"13,663",613,6600,
Holon,12.6,"14,705",614,6600,
Holon,7.2,"13,933",615,6600,
Holon,6.0,"14,161",621,6600,
Holon,9.2,"14,396",622,6600,
Holon,12.4,"13,942",623,6600,
Holon,12.7,"12,910",624,6600,
Holon,14.5,"13,721",625,6600,
Holon,9.4,"14,378",626,6600,
Bene Beraq,2.3,"14,178",112,6100,
Bene Beraq,7.1,"12,610",113,6100,
Bene Beraq,6.5,"13,001",114,6100,
Bene Beraq,5.5,"13,686",115,6100,
Bene Beraq,9.2,"15,247",117,6100,
Bene Beraq,7.5,"13,633",121,6100,
Bene Beraq,4.3,"15,281",122,6100,
Bene Beraq,5.4,"14,618",123,6100,
Bene Beraq,2.9,"17,440",211,6100,
Bene Beraq,2.6,"17,474",212,6100,
Bene Beraq,1.4,"18,577",213,6100,
Bene Beraq,1.6,"15,730",214,6100,
Bene Beraq,2.5,"16,722",221,6100,
Bene Beraq,3.3,"16,661",222,6100,
Bene Beraq,3.4,"17,402",223,6100,
Bene Beraq,13.9,"15,756",231,6100,
Bene Beraq,11.0,"16,998",232,6100,
Bene Beraq,5.2,"16,726",233,6100,
Bene Beraq,5.9,"16,310",311,6100,
Bene Beraq,1.2,"17,467",312,6100,
Bene Beraq,2.0,"17,201",313,6100,
Bene Beraq,10.1,"18,145",314,6100,
Bene Beraq,9.6,"17,049",315,6100,
Bene Beraq,1.3,"17,196",321,6100,
Bene Beraq,0.7,"20,440",322,6100,
Bene Beraq,1.6,"17,181",323,6100,
Bene Beraq,4.1,"17,325",411,6100,
Bene Beraq,2.4,"15,029",412,6100,
Bene Beraq,1.8,"15,665",413,6100,
Bene Beraq,2.7,"15,211",414,6100,
Bene Beraq,1.4,"15,494",415,6100,
Bene Beraq,1.3,"16,397",422,6100,
Bene Beraq,0.5,"13,170",423,6100,
Bene Beraq,1.9,"16,575",424,6100,
Bene Beraq,2.3,"14,784",425,6100,
Bene Beraq,3.6,"14,503",426,6100,
Bene Beraq,0.4,"15,283",427,6100,
Ramat Gan,35.8,"26,567",112,8600,
Ramat Gan,24.3,"19,970",113,8600,
Ramat Gan,22.5,"19,485",114,8600,
Ramat Gan,22.4,"16,024",115,8600,
Ramat Gan,29.7,"19,168",116,8600,
Ramat Gan,29.7,"18,573",121,8600,
Ramat Gan,38.4,"22,943",122,8600,
Ramat Gan,37.8,"20,506",123,8600,
Ramat Gan,25.1,"28,712",124,8600,
Ramat Gan,33.8,"23,845",125,8600,
Ramat Gan,41.9,"21,390",131,8600,
Ramat Gan,34.5,"17,979",132,8600,
Ramat Gan,29.5,"19,120",133,8600,
Ramat Gan,25.4,"18,071",134,8600,
Ramat Gan,22.0,"16,274",135,8600,
Ramat Gan,26.8,"17,841",136,8600,
Ramat Gan,23.2,"16,637",137,8600,
Ramat Gan,27.0,"18,602",138,8600,
Ramat Gan,22.8,"17,950",211,8600,
Ramat Gan,24.1,"17,006",212,8600,
Ramat Gan,26.9,"18,496",213,8600,
Ramat Gan,25.1,"17,991",214,8600,
Ramat Gan,24.4,"18,549",215,8600,
Ramat Gan,24.7,"17,602",216,8600,
Ramat Gan,21.7,"17,666",221,8600,
Ramat Gan,30.0,"18,970",222,8600,
Ramat Gan,27.8,"19,767",223,8600,
Ramat Gan,30.2,"17,870",224,8600,
Ramat Gan,27.6,"17,766",225,8600,
Ramat Gan,27.2,"17,469",311,8600,
Ramat Gan,32.4,"19,076",312,8600,
Ramat Gan,25.2,"21,152",313,8600,
Ramat Gan,21.4,"15,568",314,8600,
Ramat Gan,20.4,"19,088",321,8600,
Ramat Gan,20.0,"16,094",322,8600,
Ramat Gan,31.2,"17,230",324,8600,
Ramat Gan,20.5,"17,723",325,8600,
Ramat Gan,11.2,"16,876",412,8600,
Ramat Gan,36.3,"15,561",414,8600,
Ramat Gan,37.4,"14,247",416,8600,
Ramat Gan,37.0,"15,135",417,8600,
Bat Yam,8.6,"14,748",111,6200,
Bat Yam,7.3,"12,914",112,6200,
Bat Yam,6.9,"13,097",113,6200,
Bat Yam,9.7,"13,638",114,6200,
Bat Yam,9.3,"14,021",115,6200,
Bat Yam,7.8,"13,523",212,6200,
Bat Yam,10.4,"16,515",213,6200,
Bat Yam,11.2,"12,915",214,6200,
Bat Yam,9.7,"13,580",215,6200,
Bat Yam,8.0,"12,437",221,6200,
Bat Yam,9.4,"13,499",222,6200,
Bat Yam,8.0,"13,535",223,6200,
Bat Yam,8.1,"13,557",224,6200,
Bat Yam,8.4,"13,366",225,6200,
Bat Yam,13.8,"13,247",226,6200,
Bat Yam,5.4,"16,225",227,6200,
Bat Yam,2.4,"15,103",228,6200,
Bat Yam,10.5,"13,946",311,6200,
Bat Yam,10.6,"13,394",312,6200,
Bat Yam,9.1,"13,459",313,6200,
Bat Yam,10.2,"12,985",314,6200,
Bat Yam,11.8,"14,592",315,6200,
Bat Yam,10.4,"13,407",316,6200,
Bat Yam,7.3,"13,169",321,6200,
Bat Yam,10.5,"14,216",322,6200,
Bat Yam,9.3,"13,213",411,6200,
Bat Yam,6.8,"13,983",412,6200,
Bat Yam,5.0,"15,198",413,6200,
Bat Yam,6.5,"13,321",421,6200,
Bat Yam,7.5,"12,017",422,6200,
Bat Yam,9.6,"14,367",423,6200,
Bat Yam,10.6,"13,076",511,6200,
Bat Yam,11.9,"14,378",512,6200,
Bat Yam,11.3,"12,088",513,6200,
Bat Yam,9.5,"12,490",514,6200,
Bat Yam,12.0,"12,016",521,6200,
Bat Yam,11.1,"12,509",522,6200,
Bat Yam,13.1,"14,641",523,6200,
Rehovot,55.0,"15,576",112,8400,
Rehovot,37.1,"13,146",113,8400,
Rehovot,38.8,"13,153",114,8400,
Rehovot,32.7,"12,983",115,8400,
Rehovot,27.2,"11,761",116,8400,
Rehovot,15.9,"11,648",117,8400,
Rehovot,21.3,"11,426",121,8400,
Rehovot,31.8,"11,810",122,8400,
Rehovot,54.8,"14,460",123,8400,
Rehovot,21.4,"11,927",124,8400,
Rehovot,24.2,"14,394",211,8400,
Rehovot,11.1,"10,997",212,8400,
Rehovot,29.0,"12,993",213,8400,
Rehovot,33.8,"13,213",214,8400,
Rehovot,36.5,"11,417",221,8400,
Rehovot,9.4,"11,691",222,8400,
Rehovot,13.8,"9,822",231,8400,
Rehovot,14.1,"10,980",232,8400,
Rehovot,33.9,"13,695",311,8400,
Rehovot,30.3,"12,466",312,8400,
Rehovot,14.5,"8,361",313,8400,
Rehovot,14.4,"11,931",321,8400,
Rehovot,16.6,"12,777",322,8400,
Rehovot,18.3,"11,831",411,8400,
Rehovot,23.1,"12,233",412,8400,
Rehovot,29.5,"12,690",413,8400,
Rehovot,32.2,"12,749",414,8400,
Rehovot,34.2,"13,239",421,8400,
Rehovot,37.5,"12,964",422,8400,
Rehovot,40.0,"13,112",424,8400,
Rehovot,12.5,"9,993",425,8400,
Rehovot,21.9,"15,541",431,8400,
Rehovot,3.8,"7,668",432,8400,
Rehovot,21.4,"11,579",433,8400,
Ashqelon,23.9,"8,789",111,7100,
Ashqelon,26.2,"8,264",112,7100,
Ashqelon,21.1,"7,694",113,7100,
Ashqelon,19.3,"7,368",114,7100,
Ashqelon,8.5,"11,917",121,7100,
Ashqelon,18.8,"9,039",122,7100,
Ashqelon,23.3,"8,091",123,7100,
Ashqelon,21.8,"8,455",124,7100,
Ashqelon,20.1,"7,395",125,7100,
Ashqelon,15.7,"7,597",126,7100,
Ashqelon,16.5,"6,495",127,7100,
Ashqelon,13.0,"7,628",211,7100,
Ashqelon,16.4,"9,112",212,7100,
Ashqelon,12.6,"9,013",213,7100,
Ashqelon,10.6,"9,275",214,7100,
Ashqelon,14.4,"9,501",215,7100,
Ashqelon,11.7,"7,592",221,7100,
Ashqelon,6.9,"8,669",222,7100,
Ashqelon,7.1,"5,318",223,7100,
Ashqelon,11.5,"8,114",225,7100,
Ashqelon,10.4,"8,435",226,7100,
Ashqelon,10.0,"7,862",311,7100,
Ashqelon,4.0,"7,177",313,7100,
Ashqelon,5.4,"6,511",314,7100,
Ashqelon,3.9,"8,128",315,7100,
Ashqelon,6.0,"7,897",316,7100,
Ashqelon,9.2,"6,535",321,7100,
Ashqelon,5.2,"5,788",322,7100,
Ashqelon,6.5,"6,694",323,7100,
,,,,,
